customer_id,recency_days,frequency,monetary,cluster,cluster_name
13021BA,271,3,3502.87,0,沉睡客户
13022BA,50,3,4337.88,0,沉睡客户
13023BA,340,3,384.87,0,沉睡客户
13024BA,264,3,8059.97,0,沉睡客户
13025BA,273,3,803.77,0,沉睡客户
13026BA,272,3,5711.97,0,沉睡客户
13027BA,260,3,2222.97,0,沉睡客户
13028BA,316,3,3151.77,0,沉睡客户
13029BA,333,3,5641.87,0,沉睡客户
13030BA,265,3,3583.87,0,沉睡客户
13031BA,251,3,183.97,0,沉睡客户
13032BA,316,3,464.97,0,沉睡客户
13033BA,106,2,6965.9,0,沉睡客户
13034BA,8,2,3986.8,0,沉睡客户
13035BA,274,2,4026.7,0,沉睡客户
13036BA,376,1,442.99,0,沉睡客户
13037BA,354,1,3902.99,0,沉睡客户
13038BA,107,3,383.96,0,沉睡客户
13039BA,97,3,1961.86,0,沉睡客户
13040BA,17,17,33738.3,1,高价值活跃
13041BA,396,1,253.99,0,沉睡客户
13042BA,371,1,452.99,0,沉睡客户
13043BA,374,1,3253.99,0,沉睡客户
13044BA,15,2,7245.0,0,沉睡客户
13045BA,187,2,10054.0,0,沉睡客户
13046BA,96,3,2083.95,0,沉睡客户
13047BA,106,3,3042.86,0,沉睡客户
13048BA,97,3,6520.96,0,沉睡客户
13049BA,114,3,4032.96,0,沉睡客户
13050BA,79,3,2062.86,0,沉睡客户
13051BA,81,3,203.96,0,沉睡客户
13052BA,77,3,4741.96,0,沉睡客户
13053BA,82,3,8007.96,0,沉睡客户
13054BA,85,3,1781.86,0,沉睡客户
13055BA,80,3,484.96,0,沉睡客户
13056BA,75,3,1542.96,0,沉睡客户
13057BA,372,1,274.89,0,沉睡客户
13058BA,374,1,7858.99,0,沉睡客户
13059BA,78,3,184.96,0,沉睡客户
13060BA,79,3,6339.96,0,沉睡客户
13061BA,301,1,293.89,0,沉睡客户
13062BA,380,1,1653.98,0,沉睡客户
13063BA,104,2,624.97,0,沉睡客户
13064BA,164,2,1867.0,0,沉睡客户
13065BA,82,3,2491.96,0,沉睡客户
13066BA,92,2,3187.9,0,沉睡客户
13067BA,78,3,743.76,0,沉睡客户
