"customer_id","recency_days","frequency","monetary","first_purchase_date","last_purchase_date","avg_order_value","region","is_repeat_customer"
"13021BA","271","3","3502.87","2013-07-22","2015-11-04","1167.62","中国澳门","1"
"13022BA","50","3","4337.88","2013-07-18","2016-06-12","1445.96","中国澳门","1"
"13023BA","340","3","384.87","2013-07-10","2015-08-27","128.29","中国澳门","1"
"13024BA","264","3","8059.97","2013-07-01","2015-11-11","2686.66","中国澳门","1"
"13025BA","273","3","803.77","2013-07-26","2015-11-02","267.92","中国澳门","1"
"13026BA","272","3","5711.97","2013-07-02","2015-11-03","1903.99","中国澳门","1"
"13027BA","260","3","2222.97","2013-07-27","2015-11-15","740.99","中国澳门","1"
"13028BA","316","3","3151.77","2013-07-12","2015-09-20","1050.59","中国澳门","1"
"13029BA","333","3","5641.87","2013-07-28","2015-09-03","1880.62","中国澳门","1"
"13030BA","265","3","3583.87","2013-07-30","2015-11-10","1194.62","中国澳门","1"
"13031BA","251","3","183.97","2013-07-17","2015-11-24","61.32","中国澳门","1"
"13032BA","316","3","464.97","2013-07-02","2015-09-20","154.99","中国澳门","1"
"13033BA","106","2","6965.90","2015-09-17","2016-04-17","3482.95","西北区","1"
"13034BA","8","2","3986.80","2015-10-15","2016-07-24","1993.40","西北区","1"
"13035BA","274","2","4026.70","2015-09-24","2015-11-01","2013.35","西北区","1"
"13036BA","376","1","442.99","2015-07-22","2015-07-22","442.99","西南区","0"
"13037BA","354","1","3902.99","2015-08-13","2015-08-13","3902.99","西南区","0"
"13038BA","107","3","383.96","2013-07-15","2016-04-16","127.99","中国澳门","1"
"13039BA","97","3","1961.86","2013-07-20","2016-04-26","653.95","中国澳门","1"
"13040BA","17","17","33738.30","2015-08-16","2016-07-15","1984.61","韩国","1"
"13041BA","396","1","253.99","2015-07-02","2015-07-02","253.99","韩国","0"
"13042BA","371","1","452.99","2015-07-27","2015-07-27","452.99","西北区","0"
"13043BA","374","1","3253.99","2015-07-24","2015-07-24","3253.99","西北区","0"
"13044BA","15","2","7245.00","2015-08-21","2016-07-17","3622.50","西南区","1"
"13045BA","187","2","10054.00","2015-12-29","2016-01-27","5027.00","西南区","1"
"13046BA","96","3","2083.95","2013-07-09","2016-04-27","694.65","中国澳门","1"
"13047BA","106","3","3042.86","2013-07-26","2016-04-17","1014.29","中国澳门","1"
"13048BA","97","3","6520.96","2013-07-19","2016-04-26","2173.65","中国澳门","1"
"13049BA","114","3","4032.96","2013-07-29","2016-04-09","1344.32","中国澳门","1"
"13050BA","79","3","2062.86","2013-07-22","2016-05-14","687.62","中国澳门","1"
"13051BA","81","3","203.96","2013-08-08","2016-05-12","67.99","中国澳门","1"
"13052BA","77","3","4741.96","2013-08-04","2016-05-16","1580.65","中国澳门","1"
"13053BA","82","3","8007.96","2013-08-21","2016-05-11","2669.32","中国澳门","1"
